symbol,n,censor_rate,alpha_n,beta_n,nu_n,ok_n,alpha_c,nu_c,ok_c,alpha_l,beta_l,nu_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
DNCC,1881,0.0707070707070707,0.12112374155116234,0.8432077932771048,162.38317009642964,True,0.24218834193033806,6.016981110698981,True,0.17200631607686556,0.7918890896111497,5.508802057874141,True,0.05088257452570322,0.12106460037917571,False,
DOL,2466,0.061232765612327655,0.19465712790745354,0.805342872092538,4.659000078346624,True,0.23474771242481746,3.5676065206079866,True,0.15743673232683933,0.8169289829196766,3.1721577721679446,True,-0.03722039558061421,0.040090584517363914,True,
DSIL,2467,0.015403323875152006,0.26864352751394643,0.6107967813438866,4.028204026799374,True,0.32826079010464465,3.4597478750925763,True,0.2836707735320585,0.560733411231346,3.6462275487512477,True,0.015027246018112062,0.05961726259069822,False,
DSL,2475,0.011313131313131313,0.21389182110402166,0.6762515359006893,3.441914997143486,True,0.25889378216029046,3.0770898100425574,True,0.19788549922330168,0.6490314894346985,3.218242589186566,True,-0.016006321880719987,0.0450019610562688,False,
DWAE,662,0.12386706948640483,0.21316076384565058,0.17090296887319814,5.823675310991151,True,0.9999999987994441,2.5384464810740885,True,0.3120284466731198,1.1434182402059713e-05,8.62848698314047,True,0.09886768282746922,0.7868392349537936,False,
DWSM,2260,0.011504424778761062,0.14477375436587372,0.8552262456341023,3.8455056143793427,True,0.19783862587451834,3.6402379891167747,True,0.2018108422806727,0.7927228968944879,3.7140355161372356,True,0.05703708791479897,0.05306487150864461,True,
DWTM,1204,0.061461794019933555,0.11676758776360781,0.883232412236391,6.710195860763415,True,0.12939589024367937,4.7705793354666195,True,0.09959397114574899,0.9004060288012282,3.8848141445819864,True,-0.017173616617858822,0.01262830248007156,True,
DYNO,2290,0.05895196506550218,0.2090965197777016,0.7416716682104847,5.378753352133433,True,0.35310181974716326,3.4217463634969967,True,0.25485582871839496,0.648749208796318,3.131980464877891,True,0.045759308940693355,0.14400529996946165,False,
ECOP,2334,0.0715509854327335,0.1757366114329952,0.722995984790854,11.432489599154572,True,0.38424342396663924,3.8148136811347193,True,0.2486232573704295,0.6144227131368276,3.6129370508143817,True,0.0728866459374343,0.20850681253364403,False,
EFERT,2471,0.0028328611898017,0.30778695201210693,0.6137791537639622,2.87686528675248,True,0.32598503622783714,2.7970434468644454,True,0.29101350474402965,0.5770596791483902,2.9533820412222926,True,-0.01677344726807728,0.018198084215730215,False,
EFUG,1966,0.015768056968463885,0.2506032148322162,0.7493967851677764,3.3164943204781987,True,0.2718090001362767,3.1513563088362906,True,0.25076244870782727,0.7492375512921527,2.9620179864990446,True,0.0001592338756110645,0.021205785304060476,True,
EFUL,1891,0.022739291380222106,0.2783789526765802,0.7216210473233577,3.474843843885311,True,0.2982785576694764,3.1987805530473823,True,0.2238848475918935,0.7761151524080576,2.8221223057968476,True,-0.05449410508468669,0.019899604992896225,True,
ELCM,750,0.13733333333333334,0.9326027501401823,0.06441353695455962,2.066214046467617,True,0.9918613091889279,2.4172921880365204,True,0.605384308401257,0.34364799670207646,2.0733285237675156,True,-0.32721844173892534,0.05925855904874555,False,
ELSM,1132,0.08303886925795052,0.5267335472421286,0.47326645275785517,3.4468699460528835,True,0.574590751053842,3.1888487839631927,True,0.5278400270199046,0.4721599729800897,2.776509851096263,True,0.0011064797777760038,0.047857203811713434,True,
